,data,open,high,low,close,Volume,name
171822,20110421,40600,40650,39350,39850,5031744,LG디스플레이
171823,20110422,40150,41150,39800,40450,4693833,LG디스플레이
171824,20110425,40300,41300,40050,40900,2663967,LG디스플레이
171825,20110426,40900,40900,39200,39800,3510949,LG디스플레이
171826,20110427,40200,41450,39950,40700,3486710,LG디스플레이
171827,20110428,40700,41150,39750,39900,2098352,LG디스플레이
171828,20110429,39250,39600,37700,38500,4712016,LG디스플레이
171829,20110502,38400,40050,38050,39550,2816373,LG디스플레이
171830,20110503,39050,39950,38850,39400,2157563,LG디스플레이
171831,20110504,39550,39850,38350,38550,2172148,LG디스플레이
171832,20110506,38500,38800,37500,38350,2483225,LG디스플레이
171833,20110509,39050,40500,39050,39750,3548272,LG디스플레이
171834,20110511,40350,40750,39850,40300,2951276,LG디스플레이
171835,20110512,39850,40800,39700,39700,2722430,LG디스플레이
171836,20110513,40650,41100,40100,40150,3912573,LG디스플레이
171837,20110516,40300,40750,38600,38700,3161387,LG디스플레이
171838,20110517,38450,38950,38050,38300,1848866,LG디스플레이
171839,20110518,38400,39450,38300,38600,2933788,LG디스플레이
171840,20110519,38800,39200,37350,37650,2944631,LG디스플레이
171841,20110520,38000,38150,37500,37700,1264191,LG디스플레이
171842,20110523,38100,38200,36100,36500,3530845,LG디스플레이
171843,20110524,36800,37250,36250,36350,2209388,LG디스플레이
171844,20110525,36500,36600,35250,35950,2141456,LG디스플레이
171845,20110526,36450,37800,36450,37000,2467350,LG디스플레이
171846,20110527,37050,37400,36750,37150,1834002,LG디스플레이
171847,20110530,37000,37300,35450,36000,3740031,LG디스플레이
171848,20110531,36250,36700,35450,35900,3164504,LG디스플레이
171849,20110601,35900,36000,34350,35200,3848050,LG디스플레이
171850,20110602,34300,34600,33600,33850,6044713,LG디스플레이
171851,20110603,34050,34300,33300,33800,3126452,LG디스플레이
171852,20110607,33300,34650,33300,34100,2476105,LG디스플레이
171853,20110608,34100,35050,32950,33400,4051720,LG디스플레이
171854,20110609,33500,33850,32900,33000,3532829,LG디스플레이
171855,20110610,33550,33550,31800,31950,3423447,LG디스플레이
171856,20110613,31300,32100,30850,31400,2687463,LG디스플레이
171857,20110614,31200,31650,30500,31100,3396402,LG디스플레이
171858,20110615,31350,31650,29950,30700,4585037,LG디스플레이
171859,20110616,30000,30600,30000,30250,1866990,LG디스플레이
171860,20110617,30450,30450,28050,28200,8022813,LG디스플레이
171861,20110620,28250,28600,27600,28050,3782603,LG디스플레이
171862,20110621,28200,29000,28200,28950,3469294,LG디스플레이
171863,20110622,29750,30050,29350,29500,4153466,LG디스플레이
171864,20110623,29150,29350,28450,28700,3284296,LG디스플레이
171865,20110624,28700,30800,28700,30200,5270376,LG디스플레이
171866,20110627,29950,30350,29750,29900,1929177,LG디스플레이
171867,20110628,30350,30450,29100,29100,2224233,LG디스플레이
171868,20110629,29550,29950,28850,29500,2225155,LG디스플레이
171869,20110630,29650,29700,29250,29550,1847654,LG디스플레이
171870,20110701,30200,30950,30050,30750,2754202,LG디스플레이
171871,20110704,31300,31650,30800,31050,2922422,LG디스플레이
171872,20110705,31150,31300,30350,31300,2308910,LG디스플레이
171873,20110706,30700,30900,30300,30750,2294275,LG디스플레이
171874,20110707,30350,30900,30200,30700,1678457,LG디스플레이
171875,20110708,30850,30850,30300,30750,1711182,LG디스플레이
171876,20110711,30200,30250,29550,29600,3622624,LG디스플레이
171877,20110712,29100,29200,28500,28500,3656358,LG디스플레이
171878,20110713,28650,28750,27500,27800,4644444,LG디스플레이
171879,20110714,27500,28550,27300,27850,3988205,LG디스플레이
171880,20110715,27850,28500,27700,28200,1699081,LG디스플레이
171881,20110718,28450,28700,28050,28200,2003754,LG디스플레이
171882,20110719,28150,29450,28050,29150,3058884,LG디스플레이
171883,20110720,30100,31050,30050,30550,6168705,LG디스플레이
171884,20110721,30600,30850,29450,30250,2383117,LG디스플레이
171885,20110722,29500,30100,29100,29450,4965299,LG디스플레이
171886,20110725,29050,29150,28650,28900,2311931,LG디스플레이
171887,20110726,29050,29350,28850,29300,1329009,LG디스플레이
171888,20110727,29050,29550,28700,29000,2365338,LG디스플레이
171889,20110728,28100,28300,27800,27900,4744134,LG디스플레이
171890,20110729,28000,28200,27000,27150,4807208,LG디스플레이
171891,20110801,27400,28450,27400,28400,2930030,LG디스플레이
171892,20110802,27700,27850,27150,27300,3831258,LG디스플레이
171893,20110803,26550,26800,26300,26350,2599476,LG디스플레이
171894,20110804,26700,26850,25350,25400,3200702,LG디스플레이
171895,20110805,23850,24400,23250,23600,5201358,LG디스플레이
171896,20110808,23000,23750,20650,21550,6467016,LG디스플레이
171897,20110809,20550,21250,19350,20400,6556791,LG디스플레이
171898,20110810,21950,22350,21050,21600,6153972,LG디스플레이
171899,20110811,20500,21850,20400,21700,4408053,LG디스플레이
171900,20110812,22300,22450,20600,20850,4708500,LG디스플레이
171901,20110816,21550,21900,21200,21600,2853377,LG디스플레이
171902,20110817,21350,21800,20850,21150,2669591,LG디스플레이
171903,20110818,20750,20850,19350,19350,6137489,LG디스플레이
171904,20110819,18250,19100,17900,18500,4871046,LG디스플레이
171905,20110822,19000,19350,18700,18950,2545016,LG디스플레이
171906,20110823,19000,19850,18700,19850,2663606,LG디스플레이
171907,20110824,20050,20200,19150,19350,2447117,LG디스플레이
171908,20110825,19600,20050,19400,19550,3012593,LG디스플레이
171909,20110826,19500,20300,19350,20000,1970423,LG디스플레이
171910,20110829,20500,21300,20150,21100,2788917,LG디스플레이
171911,20110830,21400,21650,20400,20600,3935054,LG디스플레이
171912,20110831,20700,20900,20200,20900,2319553,LG디스플레이
171913,20110901,21050,21450,20200,20450,4325758,LG디스플레이
171914,20110902,20150,20500,19650,19950,2296705,LG디스플레이
171915,20110905,19650,19650,18750,18750,2499166,LG디스플레이
171916,20110906,18300,18700,17750,18000,2706172,LG디스플레이
171917,20110907,18500,19850,18250,19500,3951199,LG디스플레이
171918,20110908,19850,19950,18500,19100,3697833,LG디스플레이
171919,20110909,19000,19650,18750,19150,2164905,LG디스플레이
171920,20110914,19050,19500,18550,18550,2086656,LG디스플레이
171921,20110915,19300,19700,18800,19000,2151575,LG디스플레이
171922,20110916,19500,20450,19300,20450,3448373,LG디스플레이
171923,20110919,20400,20950,20050,20400,2318645,LG디스플레이
171924,20110920,20300,21950,19950,21550,4527432,LG디스플레이
171925,20110921,21350,21950,20800,21300,4060288,LG디스플레이
171926,20110922,20500,20700,19900,20100,2911079,LG디스플레이
171927,20110923,18900,19300,18200,18350,4860763,LG디스플레이
171928,20110926,18500,18700,17300,17500,3287035,LG디스플레이
171929,20110927,18150,18450,17850,18300,2158660,LG디스플레이
171930,20110928,18150,18650,18150,18150,1832023,LG디스플레이
171931,20110929,17800,20600,17800,20150,5918055,LG디스플레이
171932,20110930,19800,20450,19150,19800,3939190,LG디스플레이
171933,20111004,18400,19100,17900,19100,4091762,LG디스플레이
171934,20111005,19200,19450,18150,18150,3185664,LG디스플레이
171935,20111006,19100,20550,18850,19500,5393527,LG디스플레이
171936,20111007,20200,20550,19950,20050,3544190,LG디스플레이
171937,20111010,20350,21750,20300,21250,5308865,LG디스플레이
171938,20111011,22000,22050,21100,21300,4671730,LG디스플레이
171939,20111012,21100,22500,21000,22450,5896037,LG디스플레이
171940,20111013,22700,22950,22100,22100,3881874,LG디스플레이
171941,20111014,22250,22500,21250,22200,3146874,LG디스플레이
171942,20111017,22450,22950,21700,22750,3178330,LG디스플레이
171943,20111018,22050,22650,21850,22350,3354235,LG디스플레이
171944,20111019,22400,22750,21950,22550,2827500,LG디스플레이
171945,20111020,22400,23900,22100,22500,5473458,LG디스플레이
171946,20111021,22950,24450,22850,24250,7173610,LG디스플레이
171947,20111024,24600,24750,23850,24500,3982382,LG디스플레이
171948,20111025,24300,24400,23700,24000,2857343,LG디스플레이
171949,20111026,23500,24550,23300,24200,3800926,LG디스플레이
171950,20111027,24350,24650,23500,23600,3844306,LG디스플레이
171951,20111028,24100,24150,23200,23300,2872098,LG디스플레이
171952,20111031,22850,23600,22650,22850,2840054,LG디스플레이
171953,20111101,22500,23750,22500,23300,2710570,LG디스플레이
171954,20111102,22600,23100,22200,22950,2378127,LG디스플레이
171955,20111103,22450,22950,20600,21500,8479646,LG디스플레이
171956,20111104,22100,24100,21550,23250,7167296,LG디스플레이
171957,20111107,23650,24500,23500,24100,4158034,LG디스플레이
171958,20111108,24150,24750,23700,24050,2991042,LG디스플레이
171959,20111109,24550,24750,22750,23050,3269926,LG디스플레이
171960,20111110,22200,22200,21500,21600,3837123,LG디스플레이
171961,20111111,22050,22650,21550,22400,1887958,LG디스플레이
171962,20111114,22900,24300,22850,23950,2926215,LG디스플레이
171963,20111115,23950,24650,23900,24050,3478465,LG디스플레이
171964,20111116,24400,25200,24000,24050,4536919,LG디스플레이
171965,20111117,24600,24950,24200,24800,3192556,LG디스플레이
171966,20111118,24400,25300,24300,24800,2873763,LG디스플레이
171967,20111121,24800,24800,24000,24200,1766911,LG디스플레이
171968,20111122,23700,24750,23650,24350,1922090,LG디스플레이
171969,20111123,24550,25000,23250,23450,2491703,LG디스플레이
171970,20111124,23350,23850,22700,23700,2549964,LG디스플레이
171971,20111125,23550,23800,22900,23000,1495425,LG디스플레이
171972,20111128,23650,24700,23600,24450,3940149,LG디스플레이
171973,20111129,25150,26400,24750,25950,6685471,LG디스플레이
171974,20111130,25600,26150,25400,25850,3444403,LG디스플레이
171975,20111201,27000,27200,26150,26300,3739757,LG디스플레이
171976,20111202,26100,26250,25050,25600,4388372,LG디스플레이
171977,20111205,25550,26100,25300,25800,1983361,LG디스플레이
171978,20111206,25900,26400,25500,25800,2184684,LG디스플레이
171979,20111207,26000,26050,25400,25550,2513908,LG디스플레이
171980,20111208,24300,24700,23900,24250,7905599,LG디스플레이
171981,20111209,23600,23700,22850,23400,4706567,LG디스플레이
171982,20111212,23900,24000,23450,23700,2312316,LG디스플레이
171983,20111213,23250,24450,23250,24200,2312317,LG디스플레이
171984,20111214,23950,23950,23350,23700,1684552,LG디스플레이
171985,20111215,23250,24150,23200,23750,2131440,LG디스플레이
171986,20111216,23750,23850,23350,23550,1516242,LG디스플레이
171987,20111219,23350,23450,21400,22300,3381071,LG디스플레이
171988,20111220,22300,22450,21400,22250,3535912,LG디스플레이
171989,20111221,22900,23650,22850,23000,2120870,LG디스플레이
171990,20111222,22800,23350,22750,23050,832545,LG디스플레이
171991,20111223,23350,23800,23300,23500,1436951,LG디스플레이
171992,20111226,23600,23800,23200,23650,894339,LG디스플레이
171993,20111227,23900,23900,23050,23450,1126203,LG디스플레이
171994,20111228,23250,23950,23200,23650,1250759,LG디스플레이
171995,20111229,23500,24650,23450,24500,2344060,LG디스플레이
171996,20120102,24700,25600,24550,24950,2616978,LG디스플레이
171997,20120103,25300,25650,25150,25600,1952767,LG디스플레이
171998,20120104,25900,26200,25350,25550,2319211,LG디스플레이
