,data,open,high,low,close,Volume,name
172736,20150102,33400,33450,32250,32250,1015634,LG디스플레이
172737,20150105,32300,32500,31200,32400,1574513,LG디스플레이
172738,20150106,32600,34300,32300,33550,2052344,LG디스플레이
172739,20150107,33700,34750,33700,34400,1270634,LG디스플레이
172740,20150108,34700,35450,34100,35300,1612725,LG디스플레이
172741,20150109,35650,36150,35050,35150,1521225,LG디스플레이
172742,20150112,35050,36100,35000,35100,822098,LG디스플레이
172743,20150113,35250,35650,35050,35250,928202,LG디스플레이
172744,20150114,35250,36850,34850,36250,1719254,LG디스플레이
172745,20150115,36250,36950,35850,36350,946784,LG디스플레이
172746,20150116,36400,36400,35050,35900,881326,LG디스플레이
172747,20150119,35650,36800,35300,35900,515708,LG디스플레이
172748,20150120,35600,35850,35100,35250,700740,LG디스플레이
172749,20150121,35350,36300,35350,36200,946205,LG디스플레이
172750,20150122,36100,36200,34750,34800,1217909,LG디스플레이
172751,20150123,35300,35400,34750,35050,895059,LG디스플레이
172752,20150126,35050,35350,34550,35250,633832,LG디스플레이
172753,20150127,35400,36500,35300,36500,1065672,LG디스플레이
172754,20150128,36500,37150,35600,36050,1431365,LG디스플레이
172755,20150129,36900,36950,36300,36900,1122324,LG디스플레이
172756,20150130,37050,37200,35650,36050,1643295,LG디스플레이
172757,20150202,35850,36000,34800,35000,1250040,LG디스플레이
172758,20150203,35000,35100,34200,34900,1440783,LG디스플레이
172759,20150204,35200,35950,35150,35950,939625,LG디스플레이
172760,20150205,35700,35950,34650,34800,1016858,LG디스플레이
172761,20150206,34750,35550,34600,35100,1292584,LG디스플레이
172762,20150209,35350,35900,35250,35250,591880,LG디스플레이
172763,20150210,34800,35400,34300,34650,792587,LG디스플레이
172764,20150211,34800,35400,34350,35250,864760,LG디스플레이
172765,20150212,35300,36100,35300,36100,1095965,LG디스플레이
172766,20150213,36300,36750,35700,36100,819673,LG디스플레이
172767,20150216,36000,36400,34900,35200,766869,LG디스플레이
172768,20150217,34950,35500,34550,34800,639800,LG디스플레이
172769,20150223,34850,35000,33400,34050,2136477,LG디스플레이
172770,20150224,34050,34850,34000,34250,1256106,LG디스플레이
172771,20150225,34600,34850,34000,34150,1271155,LG디스플레이
172772,20150226,34400,34400,34150,34350,657837,LG디스플레이
172773,20150227,34400,34850,33850,34000,1350006,LG디스플레이
172774,20150302,34000,34350,33200,33500,1452499,LG디스플레이
172775,20150303,33550,33600,32100,32200,3617932,LG디스플레이
172776,20150304,32400,32750,32250,32700,1843425,LG디스플레이
172777,20150305,32250,32500,31700,31900,2730624,LG디스플레이
172778,20150306,32250,32300,31700,31800,1993414,LG디스플레이
172779,20150309,32000,32350,31100,31350,2157522,LG디스플레이
172780,20150310,31600,31700,30650,30650,2187479,LG디스플레이
172781,20150311,30750,31150,30700,30900,2375144,LG디스플레이
172782,20150312,31000,31750,30950,31400,2750388,LG디스플레이
172783,20150313,31400,31600,30750,30800,1381925,LG디스플레이
172784,20150316,31350,32200,31200,31850,2176361,LG디스플레이
172785,20150317,32400,32500,32000,32500,1681168,LG디스플레이
172786,20150318,32700,33200,32350,32800,1868983,LG디스플레이
172787,20150319,33350,33350,32550,32800,1369029,LG디스플레이
172788,20150320,33100,33100,32350,32750,1269995,LG디스플레이
172789,20150323,33050,33150,32050,32300,1671201,LG디스플레이
172790,20150324,32400,32850,32000,32700,967560,LG디스플레이
172791,20150325,32900,33050,32350,32500,971124,LG디스플레이
172792,20150326,32250,32300,31750,31950,1071896,LG디스플레이
172793,20150327,31950,32450,31900,32300,941713,LG디스플레이
172794,20150330,32000,32100,30800,31550,1890749,LG디스플레이
172795,20150331,32000,32000,31050,31300,1659962,LG디스플레이
172796,20150401,31500,32000,31150,31700,1202375,LG디스플레이
172797,20150402,32050,32550,31850,32350,1172186,LG디스플레이
172798,20150403,32700,32750,31550,31600,1106111,LG디스플레이
172799,20150406,31500,31900,31200,31800,975617,LG디스플레이
172800,20150407,31850,32100,31100,31150,1188263,LG디스플레이
172801,20150408,30850,31150,30200,30600,2435110,LG디스플레이
172802,20150409,30850,30900,30200,30550,1382620,LG디스플레이
172803,20150410,30600,31150,30550,30650,1280344,LG디스플레이
172804,20150413,30750,31150,30750,31050,1341848,LG디스플레이
172805,20150414,31200,31300,30750,30950,1399829,LG디스플레이
172806,20150415,31200,31300,30750,30800,1689918,LG디스플레이
172807,20150416,31100,32000,31000,32000,2558681,LG디스플레이
172808,20150417,32100,32450,31550,31750,1806025,LG디스플레이
172809,20150420,31800,32300,31700,31950,1608949,LG디스플레이
172810,20150421,32100,32250,30550,30650,4689181,LG디스플레이
172811,20150422,30850,31150,30300,30650,3493484,LG디스플레이
