,data,open,high,low,close,Volume,name,change
172745,20150115,36250,36950,35850,36350,946784,LG디스플레이,
172767,20150216,36000,36400,34900,35200,766869,LG디스플레이,-3.163686382
172784,20150316,31350,32200,31200,31850,2176361,LG디스플레이,-9.517045455
172806,20150415,31200,31300,30750,30800,1689918,LG디스플레이,-3.296703297
172826,20150515,30350,30450,29850,30000,709580,LG디스플레이,-2.597402597
172846,20150615,26800,27550,26750,27200,1569497,LG디스플레이,-9.333333333
172868,20150715,24650,25150,24650,24900,776221,LG디스플레이,-8.455882353
172890,20150817,22950,23100,22200,22200,2004287,LG디스플레이,-10.84337349
172911,20150915,24400,24550,24000,24200,1399983,LG디스플레이,9.009009009
172930,20151015,22700,24000,22650,23900,2460803,LG디스플레이,-1.239669421
172952,20151116,20900,21150,20500,20600,1521253,LG디스플레이,-13.80753138
172973,20151215,24050,24650,23800,24500,1214788,LG디스플레이,18.93203883
172993,20160115,23150,23400,22850,22950,1857073,LG디스플레이,-6.326530612
173011,20160215,21450,21700,21200,21500,1007800,LG디스플레이,-6.318082789
173031,20160315,24950,25150,24750,25000,1208723,LG디스플레이,16.27906977
173053,20160415,25800,25800,24600,25050,6210164,LG디스플레이,0.2
173072,20160516,24650,24850,24400,24450,481660,LG디스플레이,-2.395209581
173093,20160615,23750,24650,23700,24450,1508134,LG디스플레이,0
173115,20160715,28650,29150,28500,28900,1141992,LG디스플레이,18.200409
173136,20160816,31200,31200,30300,30450,1180940,LG디스플레이,5.363321799
173156,20160913,28650,29000,27700,27900,1617892,LG디스플레이,-8.374384236
173175,20161014,29350,30000,29300,29950,827528,LG디스플레이,7.347670251
173197,20161115,27400,27500,26500,26500,778751,LG디스플레이,-11.51919866
173219,20161215,30400,31200,30250,30950,1631993,LG디스플레이,16.79245283
173240,20170116,32150,32200,30600,30850,1658634,LG디스플레이,-0.323101777
173260,20170215,28450,28500,27700,27850,2637807,LG디스플레이,-9.724473258
173279,20170315,28000,28200,27800,27850,1214044,LG디스플레이,0
173301,20170414,30750,30950,30350,30500,733994,LG디스플레이,9.515260323
173318,20170515,29100,29150,28250,28800,3080016,LG디스플레이,-5.573770492
173340,20170615,37400,38150,36450,38150,4225813,LG디스플레이,32.46527778
173361,20170714,36900,37000,35750,35950,3147816,LG디스플레이,-5.766710354
173383,20170816,30000,30100,29400,29600,2632817,LG디스플레이,-17.66342142
173405,20170915,33550,34450,33350,33800,4402812,LG디스플레이,14.18918919
173420,20171016,29150,29700,29000,29500,3507795,LG디스플레이,-12.72189349
173442,20171115,29300,29550,29000,29250,2423357,LG디스플레이,-0.847457627
173464,20171215,30050,30400,30050,30400,1869673,LG디스플레이,3.931623932
173482,20180115,28850,29050,28450,29000,2748021,LG디스플레이,-4.605263158
173504,20180214,30800,31050,30000,30200,1357361,LG디스플레이,4.137931034
173522,20180315,28200,28400,28000,28050,1575269,LG디스플레이,-7.119205298
173544,20180416,24900,25200,24850,24950,840831,LG디스플레이,-11.0516934
173563,20180515,23450,23700,23100,23150,1610542,LG디스플레이,-7.214428858
173583,20180615,22150,22200,21100,21200,4193942,LG디스플레이,-8.423326134
173604,20180716,19850,20200,19850,19850,1533044,LG디스플레이,-6.367924528
173626,20180816,22050,22700,21750,22450,2918397,LG디스플레이,13.09823678
173647,20180914,20400,20650,20000,20100,2225027,LG디스플레이,-10.46770601
173663,20181015,18200,18250,17600,17650,1353289,LG디스플레이,-12.18905473
173686,20181115,17550,18050,17550,17850,1153467,LG디스플레이,1.133144476
173707,20181214,18300,18350,17650,17850,2074971,LG디스플레이,0
173726,20190115,20000,20050,19750,19950,1231078,LG디스플레이,11.76470588
173746,20190215,19400,19500,19050,19350,1250005,LG디스플레이,-3.007518797
173765,20190315,21000,21150,20750,21100,1505744,LG디스플레이,9.043927649
173786,20190415,21950,22050,21650,21950,1190435,LG디스플레이,4.028436019
173806,20190515,17400,17900,17400,17800,1262556,LG디스플레이,-18.90660592
173827,20190614,17050,17050,16900,16950,1482972,LG디스플레이,-4.775280899
173848,20190715,17050,17150,16900,16950,582972,LG디스플레이,0
173871,20190816,12700,12800,12550,12650,1347119,LG디스플레이,-25.36873156
173890,20190916,14850,14950,14600,14950,2282128,LG디스플레이,18.18181818
173909,20191015,14400,14400,14150,14200,730362,LG디스플레이,-5.016722408
173932,20191115,14450,14600,14400,14550,1246968,LG디스플레이,2.464788732
173953,20191216,15950,16450,15950,16350,2914872,LG디스플레이,12.37113402
173972,20200115,15700,15700,15400,15600,1196754,LG디스플레이,-4.587155963
173992,20200214,15950,16000,15700,15800,1721399,LG디스플레이,1.282051282
174013,20200316,11500,11650,10800,10800,4055023,LG디스플레이,-31.64556962
174034,20200414,11200,11300,11100,11200,1888735,LG디스플레이,3.703703704
174053,20200515,10300,10350,10100,10150,1231868,LG디스플레이,-9.375
174074,20200615,11550,11950,11000,11000,3822273,LG디스플레이,8.374384236
174096,20200715,12650,12850,12500,12700,2910039,LG디스플레이,15.45454545
174118,20200814,13300,13950,13200,13700,4977332,LG디스플레이,7.874015748
174139,20200915,16600,16650,16050,16250,3019521,LG디스플레이,18.61313869
174157,20201015,16300,16350,15950,16150,2361441,LG디스플레이,-0.615384615
174179,20201116,14850,15050,14800,14950,1926277,LG디스플레이,-7.430340557
174200,20201215,16950,18100,16850,17950,12241478,LG디스플레이,20.06688963
